City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
415,Malakal,SS,71.15,9.5334,31.6605,broken clouds,Nile Palace Hotel
421,Dhidhdhoo,MV,80.29,6.8833,73.1,overcast clouds,Dhidhoo beach
423,Ojinaga,MX,76.15,29.5667,-104.4167,clear sky,Suites Las Palmas
424,Honiara,SB,84.65,-9.4333,159.95,scattered clouds,Heritage Park Hotel
426,Sao Jose Da Coroa Grande,BR,73.92,-8.8978,-35.1478,scattered clouds,Crôa Mares Hotel
431,Ichhawar,IN,77.04,23.0167,77.0167,broken clouds,Ram mandira
432,Dullewala,PK,84.29,31.8359,71.4362,clear sky,Sajid fruit shop
434,Ariquemes,BR,73.87,-9.9133,-63.0408,broken clouds,Hotel Sol Nascente - Ariquemes - RO
435,Don Sak,TH,83.14,9.3168,99.6918,overcast clouds,Lam-tong Resort
437,Marawi,PH,76.8,7.9986,124.2928,broken clouds,Derogongan Residence
438,Sinnamary,GF,78.69,5.3833,-52.95,scattered clouds,ALETHEIA Appartement Sinnamary
441,Acapulco,MX,80.42,16.8634,-99.8901,overcast clouds,HS Hotsson Smart Acapulco
442,San Ramon,US,78.66,37.7799,-121.978,clear sky,San Ramon Marriott
446,Maunabo,PR,80.42,18.0072,-65.8993,overcast clouds,Parador Maunacaribe
447,Belmonte,BR,72.43,-15.8631,-38.8828,overcast clouds,Pousada Monte Carmelo O Pão
450,Andros Town,BS,78.76,24.7,-77.7667,broken clouds,Hanks place
454,Salalah,OM,80.69,17.0151,54.0924,broken clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
455,Oranjestad,AW,75.15,12.524,-70.027,thunderstorm with heavy rain,Divi Village Golf & Beach Resort
458,Santa Isabel Do Rio Negro,BR,75.56,-0.4139,-65.0192,broken clouds,Hotel GSA
463,Bhinmal,IN,80.44,25.0,72.25,clear sky,Jambheswar Bhavan(Gopi Khilery)
466,Sumenep,ID,87.53,-7.0167,113.8667,broken clouds,Family Nur Hotel
470,Mitsamiouli,KM,73.71,-11.3847,43.2844,scattered clouds,Foyer ADM
471,Shenjiamen,CN,78.28,29.9576,122.298,overcast clouds,Jinjiang Inn Zhoushan Putuo Shenjiamen
477,Guerrero Negro,MX,70.92,27.9769,-114.0611,clear sky,"Casa Laguna, Bed & Breakfast"
481,Bandarbeyla,SO,77.52,9.4942,50.8122,overcast clouds,JABIR HOTEL
483,Daru,PG,81.59,-9.0763,143.2092,overcast clouds,Daru Lodge
485,Nieuw Amsterdam,SR,81.01,5.8833,-55.0833,clear sky,Hotel Stardust
487,Wenling,CN,82.53,28.3669,121.36,clear sky,Hanting Express Wenling Wanchang North Road
490,Hirara,JP,82.24,24.8,125.2833,few clouds,Hotel Atoll Emerald Miyakojima
493,Cabedelo,BR,74.07,-6.9811,-34.8339,scattered clouds,Pousada Camboinha
495,Bintulu,MY,86.77,3.1667,113.0333,broken clouds,900 Boutique INN
498,Pundaguitan,PH,82.78,6.3711,126.1689,scattered clouds,Leonardo Family Beach House 1
